Source apportionment for 150 cities
commit eb21d3fb8ee65a2f44dc2b482efb077d3fdf8c40
emissions cdf = O:/Integrated_assessment/SHERPA/20170322_v18_SrrResults_PotencyBased/1_base_emissions/BC_emi_PM25_Y.nc
concentrations cdf = O:/Integrated_assessment/SHERPA/20170322_v18_SrrResults_PotencyBased/2_base_concentrations/BC_conc_PM25_Y.nc
model folder = O:/Integrated_assessment/SHERPA/20171207_SRR_noFlatWeight_120cells/3_source_receptors/SR_PM25_Y.nc
model;pollutant;target;source;snap;precursor;potential;relative_potential;potency;target_conc_basecase;delta_conc;DE
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;8;NMVOC;1.874396e-03;1.282547e-02;8.934814e-06;1.461463e+01;9.371979e-04;1.048928e+02
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;8;NOx;6.748467e-02;4.617610e-01;5.430437e-05;1.461463e+01;3.374233e-02;6.213557e+02
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;8;PPM;8.801265e-02;6.022228e-01;1.477227e-03;1.461463e+01;4.400632e-02;2.978982e+01
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;8;SOx;1.011651e-03;6.922177e-03;5.422805e-05;1.461463e+01;5.058254e-04;9.327744e+00
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;9;NH3;4.103999e-02;2.808144e-01;2.271435e-04;1.461463e+01;2.051999e-02;9.033934e+01
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;9;NMVOC;1.346124e-04;9.210796e-04;1.031968e-05;1.461463e+01;6.730620e-05;6.522122e+00
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;9;NOx;2.977590e-05;2.037404e-04;5.970578e-05;1.461463e+01;1.488795e-05;2.493553e-01
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;9;PPM;5.845378e-02;3.999676e-01;1.611774e-03;1.461463e+01;2.922689e-02;1.813337e+01
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;9;SOx;1.655786e-05;1.132965e-04;3.360691e-05;1.461463e+01;8.278930e-06;2.463461e-01
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;10;NH3;4.001972e-03;2.738332e-02;1.279555e-04;1.461463e+01;2.000986e-03;1.563814e+01
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;10;NMVOC;1.900605e-07;1.300481e-06;3.901487e-06;1.461463e+01;9.503024e-08;2.435744e-02
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;10;NOx;3.762318e-08;2.574350e-07;3.111316e-05;1.461463e+01;1.881159e-08;6.046185e-04
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;10;PPM;9.656358e-05;6.607322e-04;5.420712e-04;1.461463e+01;4.828179e-05;8.906910e-02
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;10;SOx;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;1;NH3;4.556227e-09;3.117579e-08;1.551372e-04;1.461463e+01;2.278114e-09;1.468451e-05
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;1;NMVOC;1.357039e-03;9.285479e-03;6.984677e-06;1.461463e+01;6.785193e-04;9.714398e+01
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;1;NOx;3.473285e-04;2.376581e-03;2.861265e-05;1.461463e+01;1.736642e-04;6.069491e+00
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;1;PPM;1.358672e-02;9.296655e-02;1.337630e-03;1.461463e+01;6.793360e-03;5.078654e+00
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;1;SOx;4.452165e-08;3.046375e-07;3.020511e-05;1.461463e+01;2.226083e-08;7.369888e-04
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;2;NH3;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;2;NMVOC;5.999014e-04;4.104800e-03;5.852341e-06;1.461463e+01;2.999507e-04;5.125311e+01
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;2;NOx;1.347555e-02;9.220589e-02;4.043295e-05;1.461463e+01;6.737775e-03;1.666407e+02
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;2;PPM;1.665063e-02;1.139312e-01;8.113201e-04;1.461463e+01;8.325315e-03;1.026144e+01
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;2;SOx;4.284971e-04;2.931973e-03;2.437004e-05;1.461463e+01;2.142485e-04;8.791473e+00
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;3;NH3;1.651483e-11;1.130020e-10;1.196916e-04;1.461463e+01;8.257413e-12;6.898905e-08
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;3;NMVOC;5.711736e-04;3.908231e-03;6.984680e-06;1.461463e+01;2.855868e-04;4.088760e+01
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;3;NOx;1.263551e-04;8.645792e-04;2.861250e-05;1.461463e+01;6.317753e-05;2.208039e+00
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;3;PPM;9.207024e-03;6.299867e-02;1.337631e-03;1.461463e+01;4.603512e-03;3.441542e+00
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;3;SOx;2.375813e-08;1.625640e-07;3.047717e-05;1.461463e+01;1.187907e-08;3.897694e-04
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;4;NH3;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;4;NMVOC;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;4;NOx;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;4;PPM;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;4;SOx;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;5;NH3;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;5;NMVOC;1.561819e-03;1.068668e-02;5.912295e-06;1.461463e+01;7.809093e-04;1.320823e+02
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;5;NOx;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;5;PPM;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;5;SOx;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;6;NH3;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;6;NMVOC;6.090759e-03;4.167576e-02;7.163523e-06;1.461463e+01;3.045379e-03;4.251231e+02
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;6;NOx;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;6;PPM;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;6;SOx;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;7;NH3;7.620311e-03;5.214165e-02;1.536740e-04;1.461463e+01;3.810155e-03;2.479376e+01
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;7;NMVOC;2.628083e-03;1.798254e-02;5.421862e-06;1.461463e+01;1.314041e-03;2.423598e+02
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;7;NOx;5.662527e-02;3.874560e-01;3.841396e-05;1.461463e+01;2.831264e-02;7.370403e+02
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;7;PPM;6.104305e-02;4.176845e-01;7.872736e-04;1.461463e+01;3.052153e-02;3.876864e+01
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;7;SOx;5.608702e-05;3.837731e-04;2.337834e-05;1.461463e+01;2.804351e-05;1.199551e+00
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;8;NH3;3.642108e-05;2.492097e-04;1.600253e-04;1.461463e+01;1.821054e-05;1.137979e-01
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;8;NMVOC;7.022525e-04;4.805133e-03;5.900996e-06;1.461463e+01;3.511263e-04;5.950288e+01
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;8;NOx;2.866883e-02;1.961653e-01;4.032734e-05;1.461463e+01;1.433442e-02;3.554515e+02
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;8;PPM;2.896041e-02;1.981604e-01;8.436299e-04;1.461463e+01;1.448021e-02;1.716417e+01
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;8;SOx;2.955458e-04;2.022260e-03;2.581193e-05;1.461463e+01;1.477729e-04;5.724985e+00
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;9;NH3;1.552057e-02;1.061989e-01;1.864293e-04;1.461463e+01;7.760287e-03;4.162589e+01
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;9;NMVOC;4.410747e-05;3.018035e-04;7.338484e-06;1.461463e+01;2.205373e-05;3.005217e+00
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;9;NOx;1.095999e-05;7.499328e-05;4.769525e-05;1.461463e+01;5.479995e-06;1.148961e-01
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;9;PPM;1.830394e-02;1.252440e-01;1.095339e-03;1.461463e+01;9.151972e-03;8.355380e+00
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_Comm;9;SOx;6.354938e-06;4.348339e-05;2.799286e-05;1.461463e+01;3.177469e-06;1.135100e-01
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_National;10;NH3;1.411631e+00;9.659022e+00;1.300435e-05;1.461463e+01;7.058153e-01;5.427532e+04
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_National;10;NMVOC;1.892503e-05;1.294937e-04;1.093000e-07;1.461463e+01;9.462513e-06;8.657380e+01
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_National;10;NOx;1.003819e-05;6.868587e-05;2.372736e-06;1.461463e+01;5.019093e-06;2.115319e+00
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_National;10;PPM;7.020947e-03;4.804053e-02;1.059389e-05;1.461463e+01;3.510474e-03;3.313677e+02
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_National;10;SOx;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_National;1;NH3;2.411178e-02;1.649838e-01;2.570790e-05;1.461463e+01;1.205589e-02;4.689566e+02
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_National;1;NMVOC;2.704870e-03;1.850796e-02;6.868363e-07;1.461463e+01;1.352435e-03;1.969079e+03
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_National;1;NOx;3.116361e-01;2.132357e+00;7.274056e-06;1.461463e+01;1.558180e-01;2.142107e+04
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_National;1;PPM;5.472688e-02;3.744664e-01;8.292148e-05;1.461463e+01;2.736344e-02;3.299922e+02
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_National;1;SOx;5.312965e-02;3.635374e-01;7.111576e-06;1.461463e+01;2.656483e-02;3.735434e+03
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_National;2;NH3;1.144412e-03;7.830590e-03;9.154236e-06;1.461463e+01;5.722060e-04;6.250723e+01
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_National;2;NMVOC;3.053982e-03;2.089674e-02;3.184220e-07;1.461463e+01;1.526991e-03;4.795494e+03
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_National;2;NOx;1.242129e-01;8.499215e-01;4.858641e-06;1.461463e+01;6.210645e-02;1.278268e+04
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_National;2;PPM;8.983498e-02;6.146921e-01;2.722641e-05;1.461463e+01;4.491749e-02;1.649777e+03
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_National;2;SOx;1.232659e-02;8.434418e-02;2.367613e-06;1.461463e+01;6.163295e-03;2.603169e+03
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_National;3;NH3;2.212425e-04;1.513842e-03;1.088124e-05;1.461463e+01;1.106212e-04;1.016624e+01
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_National;3;NMVOC;1.082149e-03;7.404561e-03;6.958734e-07;1.461463e+01;5.410746e-04;7.775475e+02
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_National;3;NOx;1.196203e-01;8.184966e-01;6.268408e-06;1.461463e+01;5.981013e-02;9.541519e+03
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_National;3;PPM;4.763722e-02;3.259556e-01;7.052250e-05;1.461463e+01;2.381861e-02;3.377448e+02
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_National;3;SOx;3.903671e-02;2.671070e-01;6.309288e-06;1.461463e+01;1.951835e-02;3.093591e+03
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_National;4;NH3;2.427781e-02;1.661199e-01;2.379976e-05;1.461463e+01;1.213890e-02;5.100431e+02
